x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,Y1
4,3,0.14,2.42,383,2.48,2.85,0.84,19.96,3.89,62.75,3.87,0.1,1.48,18.2
7,2,0.22,2.4,436,3.71,2.86,0.64,19.42,4,63.77,3.73,0.03,0.76,18.2
9,3,0.15,2.17,430,3.83,3,0.72,19.47,4.35,63.65,3.48,0.04,0.79,18.2
11,3,0.26,2.53,403,3.76,2.81,0.54,19.41,3.99,62.78,4.05,0.03,0.93,18.2
1,2,0.38,3.27,401,3.82,2.71,0.6,19.86,4.22,62.85,4.01,0.03,0.93,18.2
7,2,0.09,2.28,479,3.97,2.89,0.71,19.98,4.13,62.81,4.26,0.03,1.04,18.3
7,2,0.07,2.1,456,3.7,3.01,0.77,19.94,4.15,62.7,3.72,0.05,0.75,18.3
11,2,0.44,1.93,389,3.84,2.83,0.63,19.84,4.15,62.91,3.86,0.03,0.95,18.3
1,3,0.42,2.9,407,3.86,2.96,0.58,19.17,4.23,62.61,3.71,0.03,0.91,18.3
1,2,0.22,3.1,417,2.25,2.89,0.68,22.59,4.07,60.66,4.71,0.12,1.12,18.4
7,2,0.28,2.42,447,2.31,2.9,0.92,22.04,4.79,60.84,4.88,0.14,0.91,18.4
5,2,0.17,2.05,447,3.95,2.88,0.68,20.25,4.09,63.88,3.95,0.12,0.63,18.4
11,2,0.1,2.28,415,1.88,2.89,0.94,21.88,4.74,61.09,3.99,0.1,0.94,18.4
1,2,0.26,2.14,417,1.77,2.83,0,21.96,4.53,60.49,4.15,0.04,1.13,18.4
